"Timestamp","Jsem pracovník","Jsem z fakulty / odjinud","Jsem","O dění na UP jsem vnitřními informačními kanály informován(a)","Dění na UP ohledně vzniku Vysokoškolského ústavu (dále VŠÚ)","Informace získávám","Současné dění okolo VŠÚ na UP považuji za záležitost","Se způsobem, jakým se na UP řeší vznik VŠÚ, jsem","Na dění na UP ohledně vzniku VŠÚ","Na dění na UP ohledně etických kauz","K dění na UP ohledně vzniku VŠÚ","K dění na UP v etických kauzách","Svůj názor na dění na UP ohledně vzniku VŠÚ","Svůj názor na dění na UP ohledně etických kauz","Domníváte se, že některé etické kauzy je potřeba vyřešit před vznikem VŠÚ?","Současné etické kauzy na UP I","Současné etické kauzy na UP II","Dění okolo Etické komise UP","Etické podněty ohledně možného falšování dat považuji za","Etické podněty k chování, komunikaci, práci či rozhodování některých zaměstnanců či vedoucích pracovníků považuji za","Roli univerzitního ombudsmana/ky","Postoje a postup vedení UP v řešení vzniku VŠÚ považuji za","Postoje a postup vedení UP v řešení etických kauz považuji za","Způsob řešení problémů na UP ze strany vedení UP považuji za ","Univerzitu Palackého považuji z hlediska mé vědecké, pedagogické či jiné práce","Ad případný vznik VŠÚ na UP","Mám možnost se svobodně rozhodnout, zda ve VŠÚ chci pracovat nebo ne","Pokud bych měl možnost se rozhodnout, pak bych do VŠÚ ","O anketě jsem se dozvěděl(a) ","Anketu jsem uvítal(a)","Rád budu seznámen(a) s výsledky (budou zveřejněny na UP reflexi)","Comment"
"2020/02/22 2:47:40 PM GMT+1","PhD student(ka)","PřF;bývalý/á student(ka) UP","muž","dostatečně","pravidelně sleduji","z www stránek UP;z www stránek mé fakulty;z vnitřní platformy UP reflexe;z dŽurnálu;ze sociálních sítí;ze zpravodajských serverů;ze serveru Věda a výzkum;z jiných médií","Celé České vědy. ","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","z části účelové","bych spíše uvítal(a)","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","spíše nejsem pro vznik VŠÚ","nevím / netýká se mne","nevím, netýká se mne","od kolegy/ně","spíše ano","ano",""
"2020/02/22 2:48:55 PM GMT+1","PhD student(ka)","FF","muž","dostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe;ze sociálních sítí;ze zpravodajských serverů;ze serveru Věda a výzkum","celé univerzity","spíše spokojen(a)","názor si neustále tvořím","názor si neustále tvořím","občas vyjadřuji veřejně svůj názor","občas vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","spíše ne","nepokládám za problém za hranicí obvyklých problémů na instituci podobného typu","pokládám za dobře řešené","Dění okolo etické komise považuji za ne vždy korektní, ale povětšinou souhlasím s dosavadními postupy vedení UP. Například u dosud nejviditelnější kauzy kolem osoby prof. Indráka nepovažuji vzniklou kritiku rektora za zcela zaslouženou. Obdobný postoj zastávám i v případě předchozí otázky.","z části účelové","z části účelové","nemám vyhraněný názor","korektní","korektní","rozhodně transparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","nemám jasný názor","nevím / netýká se mne","nevím, netýká se mne","z UP reflexe","je mi to jedno","spíše ano",""
"2020/02/22 2:52:29 PM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","muž","nedostatečně","pravidelně sleduji","z www stránek UP;z Newsletteru UP;z www stránek mé fakulty;z vnitřní platformy UP reflexe;z dŽurnálu;ze zpravodajských serverů;ze serveru Věda a výzkum;z jiných médií","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","účelové","bych rozhodně uvítal(a)","zaujaté","zaujaté","rozhodně netransparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","rozhodně nejsem pro vznik VŠÚ","rozhodně ano","nechtěl(a) vstoupit","z UP reflexe","ano","ano",""
"2020/02/22 2:56:52 PM GMT+1","PhD student(ka)","PřF","muž","dostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu;ze sociálních sítí;ze zpravodajských serverů;z jiných médií","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","občas vyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","z části účelové","bych rozhodně uvítal(a)","zaujaté","zaujaté","rozhodně netransparentní","nedovedu posoudit","spíše jsem pro vznik VŠÚ","spíše ne","spíše nechtěl(a) vstoupit","z UP reflexe","ano","ano",""
"2020/02/22 2:58:47 PM GMT+1","PhD student(ka)","PřF","žena","spíše nedostatečně","pravidelně sleduji","z dŽurnálu;ze zpravodajských serverů","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych vyjádřil(a) pouze anonymně","bych vyjádřil(a) pouze anonymně","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nepovažuji za účelové","nepovažuji za účelové","je spíše zbytečná","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","spíše ne","možná vstoupil(a), ale ne za současných podmínek","od kolegy/ně","ano","ano",""
"2020/02/22 3:00:06 PM GMT+1","Mgr student(ka)","PdF","žena","spíše dostatečně","pravidelně sleduji","z dŽurnálu;ze sociálních sítí","jen několika fakult","spíše spokojen(a)","názor si neustále tvořím","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych vyjádřil(a) pouze anonymně","bych vyjádřil(a) pouze anonymně","spíše ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","nedovedu posoudit","bych spíše uvítal(a)","zaujaté","zaujaté","nedovedu posoudit","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","nevím / netýká se mne","nevím, netýká se mne","od kolegy/ně","spíše ano","ano",""
"2020/02/22 3:01:58 PM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","muž","spíše dostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu;ze serveru Věda a výzkum","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","účelové","nemám vyhraněný názor","zaujaté","zaujaté","spíše netransparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","rozhodně nejsem pro vznik VŠÚ","rozhodně ne","nevím, netýká se mne","z UP reflexe","ano","ano",""
"2020/02/22 3:02:36 PM GMT+1","Bc student(ka)","PřF","žena","spíše dostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu;ze sociálních sítí;ze zpravodajských serverů;z jiných médií","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","občas vyjadřuji veřejně svůj názor","občas vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nepovažuji za účelové","nedovedu posoudit","nemám vyhraněný názor","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","spíše nejsem pro vznik VŠÚ","rozhodně ano","nechtěl(a) vstoupit","z UP reflexe","ano","ano",""
"2020/02/22 3:09:29 PM GMT+1","administrativní/hospodářský/technický pracovník/pracovnice/manažer(ka)","rektorátu UP","muž","spíše dostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu;ze serveru Věda a výzkum","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","z části účelové","z části účelové","bych spíše uvítal(a)","zaujaté","zaujaté","spíše netransparentní","nedovedu posoudit","nemám jasný názor","nevím / netýká se mne","spíše chtěl(a) vstoupit","z UP reflexe","spíše ano","ano",""
"2020/02/22 3:10:28 PM GMT+1","PhD student(ka)","PřF","muž","spíše dostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu;ze zpravodajských serverů;ze serveru Věda a výzkum","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych vyjádřil(a) pouze anonymně","bych vyjádřil(a) pouze anonymně","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","účelové","bych rozhodně uvítal(a)","zaujaté","zaujaté","spíše netransparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","spíše nejsem pro vznik VŠÚ","nevím / netýká se mne","nevím, netýká se mne","z UP reflexe;od kolegy/ně;z dŽurnálu","ano","ano",""
"2020/02/22 3:11:13 PM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","muž","spíše nedostatečně","pravidelně sleduji","z www stránek UP;z www stránek mé fakulty;z vnitřní platformy UP reflexe;z dŽurnálu;ze sociálních sítí;ze zpravodajských serverů;ze serveru Věda a výzkum;z jiných médií","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","účelové","bych spíše uvítal(a)","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","spíše nejsem pro vznik VŠÚ","spíše ano","nechtěl(a) vstoupit","od kolegy/ně","ano","ano",""
"2020/02/22 3:13:45 PM GMT+1","Mgr student(ka)","LF","žena","nedostatečně","zběžně sleduji","ze sociálních sítí","nedovedu posoudit","nespokojen(a)","názor si neustále tvořím","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych vyjádřil(a) pouze anonymně","bych vyjádřil(a) pouze anonymně","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","účelové","účelové","bych rozhodně uvítal(a)","mírně zaujaté","mírně zaujaté","spíše transparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","spíše ano","spíše chtěl(a) vstoupit","ze sociálních sítí","ano","ano",""
"2020/02/22 3:26:14 PM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","muž","spíše nedostatečně","pravidelně sleduji","z www stránek mé fakulty;z vnitřní platformy UP reflexe;z dŽurnálu;ze sociálních sítí;ze zpravodajských serverů;ze serveru Věda a výzkum","celé univerzity","nespokojen(a)","názor si neustále tvořím","názor si neustále tvořím","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","účelové","bych spíše uvítal(a)","zaujaté","zaujaté","rozhodně netransparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","spíše nejsem pro vznik VŠÚ","nevím / netýká se mne","nevím, netýká se mne","z UP reflexe","ano","ano","Diky za dotaznik!"
"2020/02/22 3:26:47 PM GMT+1","Mgr student(ka)","FF","žena","spíše nedostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu;ze serveru Věda a výzkum;z jiných médií","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nepovažuji za účelové","z části účelové","je spíše zbytečná","mírně zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","nevím / netýká se mne","nevím, netýká se mne","z UP reflexe;od kolegy/ně","ano","ano",""
"2020/02/22 3:29:20 PM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","muž","dostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu;ze serveru Věda a výzkum","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","často vyjadřuji veřejně svůj názor","často vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nepovažuji za účelové","z části účelové","nemám vyhraněný názor","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","spíše nejsem pro vznik VŠÚ","spíše ne","nechtěl(a) vstoupit","od kolegy/ně","ano","ano","dekuju organizatorum za anketu!"
"2020/02/22 3:31:50 PM GMT+1","lektor(ka)","LF","muž","spíše dostatečně","pravidelně sleduji","z www stránek UP;z www stránek mé fakulty;z vnitřní platformy UP reflexe;z dŽurnálu;ze zpravodajských serverů;z jiných médií","jen několika fakult","spíše nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","občas vyjadřuji veřejně svůj názor","občas vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","účelové","účelové","bych spíše uvítal(a)","zaujaté","zaujaté","spíše netransparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","spíše nejsem pro vznik VŠÚ","nevím / netýká se mne","nevím, netýká se mne","od kolegy/ně","spíše ano","ano",""
"2020/02/22 3:44:40 PM GMT+1","mladší výzkumný pracovník/pracovnice (do 5 let od PhD)","FTK","muž","spíše dostatečně","pravidelně sleduji","z www stránek UP;z vnitřní platformy UP reflexe;z dŽurnálu;ze zpravodajských serverů","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","občas vyjadřuji veřejně svůj názor","často vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","spíše ne","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","z části účelové","z části účelové","bych rozhodně uvítal(a)","zaujaté","zaujaté","spíše netransparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","spíše jsem pro vznik VŠÚ","nevím / netýká se mne","nevím, netýká se mne","z UP reflexe","spíše ano","ano",""
"2020/02/22 3:46:43 PM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","muž","nedostatečně","pravidelně sleduji","z www stránek UP;z www stránek mé fakulty;z vnitřní platformy UP reflexe;z dŽurnálu;ze serveru Věda a výzkum;z jiných médií","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","z části účelové","bych spíše uvítal(a)","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","spíše nejsem pro vznik VŠÚ","nevím / netýká se mne","nechtěl(a) vstoupit","z UP reflexe","ano","ano","dík za dotazník a snad to dobře dopadne"
"2020/02/22 3:55:55 PM GMT+1","mladší výzkumný pracovník/pracovnice (do 5 let od PhD)","FF;bývalý zaměstnanec / bývalá zaměstnankyně UP","muž","vůbec","zběžně sleduji","z dŽurnálu;ze sociálních sítí;ze zpravodajských serverů;ze serveru Věda a výzkum;z jiných médií","celé univerzity","nespokojen(a)","názor si neustále tvořím","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","nedovedu posoudit","je zcela zbytečná","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","nemám jasný názor","nevím / netýká se mne","nevím, netýká se mne","ze sociálních sítí","spíše ano","ano",""
"2020/02/22 4:00:40 PM GMT+1","PhD student(ka)","LF","žena","nedostatečně","zběžně sleduji","z dŽurnálu;ze zpravodajských serverů","celé univerzity","nemám jasný názor","názor si neustále tvořím","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych vyjádřil(a) pouze anonymně","bych vyjádřil(a) pouze anonymně","spíše ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","z části účelové","z části účelové","je spíše zbytečná","mírně zaujaté","mírně zaujaté","spíše transparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","spíše nejsem pro vznik VŠÚ","nevím / netýká se mne","spíše nechtěl(a) vstoupit","ze sociálních sítí","spíše ano","ano",""
"2020/02/22 4:02:45 PM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","muž","dostatečně","pravidelně sleduji","z www stránek UP;z www stránek mé fakulty;z vnitřní platformy UP reflexe;ze zpravodajských serverů;ze serveru Věda a výzkum;z jiných médií","celé univerzity","spokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","často vyjadřuji veřejně svůj názor","často vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ne","nepokládám za problém za hranicí obvyklých problémů na instituci podobného typu","pokládám za nepříliš dobře řešené","považuji za korektní","účelové","z části účelové","je zcela zbytečná","korektní","korektní","spíše transparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","rozhodně jsem pro vznik VŠÚ","rozhodně ano","spíše chtěl(a) vstoupit","z UP reflexe","spíše ne","spíše ano","Otázka ""Pokud bych měl možnost se rozhodnout, pak bych do VŠÚ ...."" předjímá, že svobodné rozhodnutí být nemusí. Protože mám možnost svobodně se rozhodnout, pak na ni relevantně nemám co odpovědět.

Otáka ""Pokud bych měl možnost se rozhodnout, pak bych do VŠÚ  ..."" se v mém případě těžko odpovídá, protože fakticky možnost mám, ale prakticky ne, jsem totiž garant studijního programu.



"
"2020/02/22 4:04:04 PM GMT+1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/02/22 4:06:56 PM GMT+1","PhD student(ka)","PřF","žena","dostatečně","pravidelně sleduji","z www stránek UP;z Newsletteru UP;z vnitřní platformy UP reflexe","celé univerzity","spokojen(a)","názor si neustále tvořím","názor si neustále tvořím","málokdy vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","nedovedu posoudit","nepokládám za problém za hranicí obvyklých problémů na instituci podobného typu","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nedovedu posoudit","nepovažuji za účelové","bych spíše uvítal(a)","korektní","korektní","nedovedu posoudit","nedovedu posoudit","rozhodně jsem pro vznik VŠÚ","rozhodně ano","rozhodně chtěl(a) vstoupit","z UP reflexe","spíše ano","ano","Díky za dotazník, třeba to něčemu pomůže. Mám však pár výhrad:
Některé otázky, které se týkají etických ""kauz"" jsou pro mě pokládány nic neříkajícně. Např. Otázka zda je potřeba některé etické kauzy vyřešit před vznikem VŠÚ? - není mi jasné, které kauzy konkrétně a jak to má být relevantní pro vznik VŠÚ."
"2020/02/22 4:17:17 PM GMT+1","Mgr student(ka)","LF","žena","spíše nedostatečně","nesleduji, neboť nemám informace","ze sociálních sítí","nedovedu posoudit","nemám jasný názor","nemám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","spíše ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","účelové","účelové","nemám vyhraněný názor","nedovedu posoudit","nedovedu posoudit","spíše netransparentní","nedovedu posoudit","nemám jasný názor","nevím / netýká se mne","nechtěl(a) vstoupit","ze sociálních sítí","spíše ne","je mi to jedno",""
"2020/02/22 4:22:09 PM GMT+1","Mgr student(ka)","FF","žena","nedostatečně","zběžně sleduji","z www stránek UP;ze sociálních sítí;ze zpravodajských serverů","celé univerzity","nespokojen(a)","názor si neustále tvořím","názor si neustále tvořím","málokdy vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","z části účelové","z části účelové","bych rozhodně uvítal(a)","zaujaté","zaujaté","spíše netransparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","nevím / netýká se mne","nevím, netýká se mne","od kolegy/ně","spíše ano","ano",""
"2020/02/22 4:26:08 PM GMT+1","PhD student(ka)","PřF","muž","spíše dostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","často vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nepovažuji za účelové","z části účelové","nemám vyhraněný názor","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","nevím / netýká se mne","možná vstoupil(a), ale ne za současných podmínek","z UP reflexe","ano","ano",""
"2020/02/22 4:38:11 PM GMT+1","Mgr student(ka)","PřF","muž","spíše dostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu;ze sociálních sítí;ze zpravodajských serverů;z jiných médií","celé univerzity","nemám jasný názor","názor si neustále tvořím","názor si neustále tvořím","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","Názor si neustále tvořím. ","Názor si neustále tvořím. ","nedovedu posoudit","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nedovedu posoudit","nedovedu posoudit","nemám vyhraněný názor","Názor si neustále tvořím. ","Názor si neustále tvořím. ","nedovedu posoudit","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","rozhodně jsem pro vznik VŠÚ","nevím / netýká se mne","nevím, netýká se mne","z UP reflexe","spíše ano","ano","Na některé otázky bylo obtížné odpověďět, např. někde zaznělo - ""velký problém"", ale - jak to je myšleno? Tím se mohou rozumět etické prohřešky, reakce děkana PřF, rozhodování rektora UP... "
"2020/02/22 4:40:34 PM GMT+1","PhD student(ka)","PřF","muž","dostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe","celé univerzity","spíše nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","nedovedu posoudit","nepokládám za problém za hranicí obvyklých problémů na instituci podobného typu","pokládám za dobře řešené","považuji za ne vždy korektní","z části účelové","z části účelové","nemám vyhraněný názor","korektní","nedovedu posoudit","nedovedu posoudit","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","spíše jsem pro vznik VŠÚ","rozhodně ano","spíše chtěl(a) vstoupit","z UP reflexe","ano","ano",""
"2020/02/22 4:55:38 PM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","FF","muž","dostatečně","pravidelně sleduji","z www stránek UP;z vnitřní platformy UP reflexe;z dŽurnálu","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","spíše ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nedovedu posoudit","účelové","bych spíše uvítal(a)","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","nemám jasný názor","nevím / netýká se mne","spíše chtěl(a) vstoupit","z UP reflexe","ano","ano",""
"2020/02/22 4:58:19 PM GMT+1","Mgr student(ka)","PdF","muž","spíše dostatečně","zběžně sleduji","z www stránek UP;z dŽurnálu;ze sociálních sítí;z jiných médií","nedovedu posoudit","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","spíše ne","pokládám za nevelký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nepovažuji za účelové","účelové","nemám vyhraněný názor","mírně zaujaté","zaujaté","spíše transparentní","za místo s jistými problémy, které však nepřekračují hranici obvyklých problémů na instituci podobného typu","rozhodně jsem pro vznik VŠÚ","nevím / netýká se mne","nevím, netýká se mne","ze sociálních sítí","ano","ano",""
